E:/PythonProject/get12306/get_all_train.py:28: DeprecationWarning: use options instead of chrome_options
  browser = webdriver.Chrome(chrome_options=chrome_options)
['4045', '齐齐哈尔', '加格达奇', '塔哈', '哈力图', '', '', '', '', '?120.5', '?78.5', '', '?32.5', '?32.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '红彦', '', '', '', '', '?124.5', '?81.5', '', '?35.5', '?35.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '达拉滨', '', '', '', '', '?130.5', '?84.5', '', '?38.5', '?38.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '大杨树东', '', '', '', '', '?130.5', '?84.5', '', '?38.5', '?38.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '大杨树', '', '', '', '', '?134.5', '?86.5', '', '?40.5', '?40.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '春亭阁', '', '', '', '', '?134.5', '?86.5', '', '?40.5', '?40.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '乌鲁布铁', '', '', '', '', '?140.5', '?90.5', '', '?44.5', '?44.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '朝阳村', '', '', '', '', '?143.5', '?91.5', '', '?45.5', '?45.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '讷尔克气', '', '', '', '', '?146.5', '?93.5', '', '?47.5', '?47.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '白桦排', '', '', '', '', '?146.5', '?93.5', '', '?47.5', '?47.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '加格达奇', '', '', '', '', '?158.5', '?102.5', '', '?54.5', '?54.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '团结', '', '', '', '', '?79.5', '?53.0', '', '?7.0', '?7.0']
['4045', '齐齐哈尔', '加格达奇', '富裕', '拉哈', '', '', '', '', '?81.5', '?55.0', '', '?9.0', '?9.0']
['4045', '齐齐哈尔', '加格达奇', '富裕', '六合镇', '', '', '', '', '?85.5', '?56.5', '', '?10.5', '?10.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '八方', '', '', '', '', '?87.5', '?56.5', '', '?10.5', '?10.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '讷河', '', '', '', '', '?88.5', '?58.5', '', '?12.5', '?12.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '恒地营', '', '', '', '', '?94.5', '?60.5', '', '?14.5', '?14.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '老莱', '', '', '', '', '?94.5', '?60.5', '', '?14.5', '?14.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '伊拉哈', '', '', '', '', '?99.5', '?64.5', '', '?18.5', '?18.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '九三', '', '', '', '', '?101.5', '?66.5', '', '?20.5', '?20.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '弯道', '', '', '', '', '?102.5', '?66.5', '', '?20.5', '?20.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '新高峰', '', '', '', '', '?105.5', '?67.5', '', '?21.5', '?21.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '嫩江', '', '', '', '', '?109.5', '?71.5', '', '?25.5', '?25.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '哈达阳', '', '', '', '', '?112.5', '?72.5', '', '?26.5', '?26.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '哈力图', '', '', '', '', '?115.5', '?75.5', '', '?29.5', '?29.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '红彦', '', '', '', '', '?120.5', '?78.5', '', '?32.5', '?32.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '达拉滨', '', '', '', '', '?124.5', '?81.5', '', '?35.5', '?35.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '大杨树东', '', '', '', '', '?127.5', '?82.5', '', '?36.5', '?36.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '大杨树', '', '', '', '', '?127.5', '?82.5', '', '?36.5', '?36.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '春亭阁', '', '', '', '', '?130.5', '?84.5', '', '?38.5', '?38.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '乌鲁布铁', '', '', '', '', '?130.5', '?84.5', '', '?38.5', '?38.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '朝阳村', '', '', '', '', '?134.5', '?86.5', '', '?40.5', '?40.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '讷尔克气', '', '', '', '', '?140.5', '?90.5', '', '?44.5', '?44.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '白桦排', '', '', '', '', '?143.5', '?91.5', '', '?45.5', '?45.5']
['4045', '齐齐哈尔', '加格达奇', '富裕', '加格达奇', '', '', '', '', '?146.5', '?93.5', '', '?47.5', '?47.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '拉哈', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4045', '齐齐哈尔', '加格达奇', '团结', '六合镇', '', '', '', '', '?79.5', '?53.0', '', '?7.0', '?7.0']
['4045', '齐齐哈尔', '加格达奇', '团结', '八方', '', '', '', '', '?81.5', '?55.0', '', '?9.0', '?9.0']
['4045', '齐齐哈尔', '加格达奇', '团结', '讷河', '', '', '', '', '?84.5', '?55.0', '', '?9.0', '?9.0']
['4045', '齐齐哈尔', '加格达奇', '团结', '恒地营', '', '', '', '', '?85.5', '?56.5', '', '?10.5', '?10.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '老莱', '', '', '', '', '?87.5', '?56.5', '', '?10.5', '?10.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '伊拉哈', '', '', '', '', '?90.5', '?59.5', '', '?13.5', '?13.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '九三', '', '', '', '', '?94.5', '?60.5', '', '?14.5', '?14.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '弯道', '', '', '', '', '?95.5', '?62.5', '', '?16.5', '?16.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '新高峰', '', '', '', '', '?99.5', '?64.5', '', '?18.5', '?18.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '嫩江', '', '', '', '', '?101.5', '?66.5', '', '?20.5', '?20.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '哈达阳', '', '', '', '', '?105.5', '?67.5', '', '?21.5', '?21.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '哈力图', '', '', '', '', '?109.5', '?71.5', '', '?25.5', '?25.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '红彦', '', '', '', '', '?112.5', '?72.5', '', '?26.5', '?26.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '达拉滨', '', '', '', '', '?115.5', '?75.5', '', '?29.5', '?29.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '大杨树东', '', '', '', '', '?120.5', '?78.5', '', '?32.5', '?32.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '大杨树', '', '', '', '', '?120.5', '?78.5', '', '?32.5', '?32.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '春亭阁', '', '', '', '', '?124.5', '?81.5', '', '?35.5', '?35.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '乌鲁布铁', '', '', '', '', '?127.5', '?82.5', '', '?36.5', '?36.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '朝阳村', '', '', '', '', '?127.5', '?82.5', '', '?36.5', '?36.5']
['4045', '齐齐哈尔', '加格达奇', '团结', '讷尔克气', '', '', '', '', '?130.5', '?84.5', '', '?38.5', '?38.5']
