['D55', '张掖西', '乌鲁木齐', '嘉峪关南', '乌鲁木齐', '', '¥538.0', '¥336.0', '', '', '', '', '', '', '¥336.0']
['D55', '张掖西', '乌鲁木齐', '玉门', '柳园南', '', '¥80.0', '¥50.5', '', '', '', '', '', '', '¥50.5']
['D55', '张掖西', '乌鲁木齐', '玉门', '哈密', '', '¥209.0', '¥131.0', '', '', '', '', '', '', '¥131.0']
['D55', '张掖西', '乌鲁木齐', '玉门', '鄯善北', '', '¥348.0', '¥217.5', '', '', '', '', '', '', '¥217.5']
['D55', '张掖西', '乌鲁木齐', '玉门', '吐鲁番北', '', '¥393.0', '¥245.5', '', '', '', '', '', '', '¥245.5']
['D55', '张掖西', '乌鲁木齐', '玉门', '乌鲁木齐', '', '¥475.0', '¥297.0', '', '', '', '', '', '', '¥297.0']
['D55', '张掖西', '乌鲁木齐', '柳园南', '哈密', '', '¥129.0', '¥80.5', '', '', '', '', '', '', '¥80.5']
['D55', '张掖西', '乌鲁木齐', '柳园南', '鄯善北', '', '¥268.0', '¥167.0', '', '', '', '', '', '', '¥167.0']
['D55', '张掖西', '乌鲁木齐', '柳园南', '吐鲁番北', '', '¥312.0', '¥195.5', '', '', '', '', '', '', '¥195.5']
['D55', '张掖西', '乌鲁木齐', '柳园南', '乌鲁木齐', '', '¥395.0', '¥247.0', '', '', '', '', '', '', '¥247.0']
['D55', '张掖西', '乌鲁木齐', '哈密', '鄯善北', '', '¥139.0', '¥86.5', '', '', '', '', '', '', '¥86.5']
['D55', '张掖西', '乌鲁木齐', '哈密', '吐鲁番北', '', '¥184.0', '¥115.0', '', '', '', '', '', '', '¥115.0']
['D55', '张掖西', '乌鲁木齐', '哈密', '乌鲁木齐', '', '¥266.0', '¥166.5', '', '', '', '', '', '', '¥166.5']
['D55', '张掖西', '乌鲁木齐', '鄯善北', '吐鲁番北', '', '¥45.0', '¥28.0', '', '', '', '', '', '', '¥28.0']
['D55', '张掖西', '乌鲁木齐', '鄯善北', '乌鲁木齐', '', '¥127.0', '¥79.5', '', '', '', '', '', '', '¥79.5']
['D55', '张掖西', '乌鲁木齐', '吐鲁番北', '乌鲁木齐', '', '¥82.0', '¥51.5', '', '', '', '', '', '', '¥51.5']
['D56', '乌鲁木齐', '张掖西', '乌鲁木齐', '吐鲁番北', '', '¥82.0', '¥51.5', '', '', '', '', '', '', '¥51.5']
['D56', '乌鲁木齐', '张掖西', '乌鲁木齐', '哈密', '', '¥266.0', '¥166.5', '', '', '', '', '', '', '¥166.5']
['D56', '乌鲁木齐', '张掖西', '乌鲁木齐', '柳园南', '', '¥395.0', '¥247.0', '', '', '', '', '', '', '¥247.0']
['D56', '乌鲁木齐', '张掖西', '乌鲁木齐', '玉门', '', '¥475.0', '¥297.0', '', '', '', '', '', '', '¥297.0']
['D56', '乌鲁木齐', '张掖西', '乌鲁木齐', '嘉峪关南', '', '¥538.0', '¥336.0', '', '', '', '', '', '', '¥336.0']
['D56', '乌鲁木齐', '张掖西', '乌鲁木齐', '酒泉南', '', '¥548.0', '¥342.5', '', '', '', '', '', '', '¥342.5']
['D56', '乌鲁木齐', '张掖西', '乌鲁木齐', '张掖西', '', '¥642.0', '¥401.5', '', '', '', '', '', '', '¥401.5']
['D56', '乌鲁木齐', '张掖西', '吐鲁番北', '哈密', '', '¥184.0', '¥115.0', '', '', '', '', '', '', '¥115.0']
['D56', '乌鲁木齐', '张掖西', '吐鲁番北', '柳园南', '', '¥312.0', '¥195.5', '', '', '', '', '', '', '¥195.5']
['D56', '乌鲁木齐', '张掖西', '吐鲁番北', '玉门', '', '¥393.0', '¥245.5', '', '', '', '', '', '', '¥245.5']
['D56', '乌鲁木齐', '张掖西', '吐鲁番北', '嘉峪关南', '', '¥455.0', '¥284.5', '', '', '', '', '', '', '¥284.5']
['D56', '乌鲁木齐', '张掖西', '吐鲁番北', '酒泉南', '', '¥466.0', '¥291.0', '', '', '', '', '', '', '¥291.0']
['D56', '乌鲁木齐', '张掖西', '吐鲁番北', '张掖西', '', '¥560.0', '¥350.0', '', '', '', '', '', '', '¥350.0']
['D56', '乌鲁木齐', '张掖西', '哈密', '柳园南', '', '¥129.0', '¥80.5', '', '', '', '', '', '', '¥80.5']
['D56', '乌鲁木齐', '张掖西', '哈密', '玉门', '', '¥209.0', '¥131.0', '', '', '', '', '', '', '¥131.0']
['D56', '乌鲁木齐', '张掖西', '哈密', '嘉峪关南', '', '¥272.0', '¥169.5', '', '', '', '', '', '', '¥169.5']
['D56', '乌鲁木齐', '张掖西', '哈密', '酒泉南', '', '¥282.0', '¥176.0', '', '', '', '', '', '', '¥176.0']
['D56', '乌鲁木齐', '张掖西', '哈密', '张掖西', '', '¥376.0', '¥235.0', '', '', '', '', '', '', '¥235.0']
['D56', '乌鲁木齐', '张掖西', '柳园南', '玉门', '', '¥80.0', '¥50.5', '', '', '', '', '', '', '¥50.5']
['D56', '乌鲁木齐', '张掖西', '柳园南', '嘉峪关南', '', '¥143.0', '¥89.0', '', '', '', '', '', '', '¥89.0']
['D56', '乌鲁木齐', '张掖西', '柳园南', '酒泉南', '', '¥153.0', '¥95.5', '', '', '', '', '', '', '¥95.5']
['D56', '乌鲁木齐', '张掖西', '柳园南', '张掖西', '', '¥247.0', '¥154.5', '', '', '', '', '', '', '¥154.5']
['D56', '乌鲁木齐', '张掖西', '玉门', '嘉峪关南', '', '¥62.0', '¥39.0', '', '', '', '', '', '', '¥39.0']
['D56', '乌鲁木齐', '张掖西', '玉门', '酒泉南', '', '¥73.0', '¥45.5', '', '', '', '', '', '', '¥45.5']
['D56', '乌鲁木齐', '张掖西', '玉门', '张掖西', '', '¥167.0', '¥104.5', '', '', '', '', '', '', '¥104.5']
['D56', '乌鲁木齐', '张掖西', '嘉峪关南', '酒泉南', '', '¥10.0', '¥6.5', '', '', '', '', '', '', '¥6.5']
['D56', '乌鲁木齐', '张掖西', '嘉峪关南', '张掖西', '', '¥105.0', '¥65.5', '', '', '', '', '', '', '¥65.5']
['D56', '乌鲁木齐', '张掖西', '酒泉南', '张掖西', '', '¥94.0', '¥59.0', '', '', '', '', '', '', '¥59.0']
['D083', '海口', '三亚', '海口', '海口东', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口', '美兰', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口', '文昌', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口', '琼海', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口', '博鳌', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口', '万宁', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口', '陵水', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口', '亚龙湾', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口', '三亚', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口东', '美兰', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口东', '文昌', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口东', '琼海', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口东', '博鳌', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口东', '万宁', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口东', '陵水', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口东', '亚龙湾', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '海口东', '三亚', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '美兰', '文昌', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '美兰', '琼海', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '美兰', '博鳌', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '美兰', '万宁', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '美兰', '陵水', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '美兰', '亚龙湾', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '美兰', '三亚', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '文昌', '琼海', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '文昌', '博鳌', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '文昌', '万宁', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '文昌', '陵水', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '文昌', '亚龙湾', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '文昌', '三亚', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '琼海', '博鳌', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '琼海', '万宁', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '琼海', '陵水', '', '', '', '', '', '', '', '', '', '']
['D083', '海口', '三亚', '琼海', '亚龙湾', '', '¥9.0', '¥7.0', '', '', '', '', '', '', '¥7.0']
