['Z6', '南宁', '北京西', '南宁', '武昌', '', '', '', '', '¥422.5', '¥422.5', '¥268.5', '', '¥156.5', '¥156.5']
['Z6', '南宁', '北京西', '南宁', '郑州', '', '', '', '', '¥556.0', '¥556.0', '¥353.0', '', '¥206.0', '¥206.0']
['Z6', '南宁', '北京西', '南宁', '石家庄', '', '', '', '', '¥654.0', '¥654.0', '¥414.0', '', '¥243.0', '¥243.0']
['Z6', '南宁', '北京西', '南宁', '北京西', '', '', '', '', '¥718.5', '¥718.5', '¥455.5', '', '¥268.5', '¥268.5']
['Z6', '南宁', '北京西', '南宁东', '柳州', '', '', '', '', '¥118.5', '¥118.5', '¥78.5', '', '¥32.5', '¥32.5']
['Z6', '南宁', '北京西', '南宁东', '桂林北', '', '', '', '', '¥152.5', '¥152.5', '¥99.5', '', '¥53.5', '¥53.5']
['Z6', '南宁', '北京西', '南宁东', '衡阳', '', '', '', '', '¥263.0', '¥263.0', '¥171.0', '', '¥98.0', '¥98.0']
['Z6', '南宁', '北京西', '南宁东', '长沙', '', '', '', '', '¥312.0', '¥312.0', '¥200.0', '', '¥115.0', '¥115.0']
['Z6', '南宁', '北京西', '南宁东', '武昌', '', '', '', '', '¥422.5', '¥422.5', '¥268.5', '', '¥156.5', '¥156.5']
['Z6', '南宁', '北京西', '南宁东', '郑州', '', '', '', '', '¥556.0', '¥556.0', '¥353.0', '', '¥206.0', '¥206.0']
['Z6', '南宁', '北京西', '南宁东', '石家庄', '', '', '', '', '¥654.0', '¥654.0', '¥414.0', '', '¥243.0', '¥243.0']
['Z6', '南宁', '北京西', '南宁东', '北京西', '', '', '', '', '¥718.5', '¥718.5', '¥455.5', '', '¥268.5', '¥268.5']
['Z6', '南宁', '北京西', '柳州', '桂林北', '', '', '', '', '¥108.5', '¥108.5', '¥70.5', '', '¥24.5', '¥24.5']
['Z6', '南宁', '北京西', '柳州', '衡阳', '', '', '', '', '¥197.0', '¥197.0', '¥129.0', '', '¥72.0', '¥72.0']
['Z6', '南宁', '北京西', '柳州', '长沙', '', '', '', '', '¥251.0', '¥251.0', '¥163.0', '', '¥93.0', '¥93.0']
['Z6', '南宁', '北京西', '柳州', '武昌', '', '', '', '', '¥360.5', '¥360.5', '¥232.5', '', '¥135.5', '¥135.5']
['Z6', '南宁', '北京西', '柳州', '郑州', '', '', '', '', '¥504.5', '¥504.5', '¥322.5', '', '¥189.5', '¥189.5']
['Z6', '南宁', '北京西', '柳州', '石家庄', '', '', '', '', '¥598.0', '¥598.0', '¥381.0', '', '¥224.0', '¥224.0']
['Z6', '南宁', '北京西', '柳州', '北京西', '', '', '', '', '¥673.0', '¥673.0', '¥426.0', '', '¥251.0', '¥251.0']
['Z6', '南宁', '北京西', '桂林北', '衡阳', '', '', '', '', '¥146.5', '¥146.5', '¥96.5', '', '¥50.5', '¥50.5']
['Z6', '南宁', '北京西', '桂林北', '长沙', '', '', '', '', '¥205.0', '¥205.0', '¥133.0', '', '¥75.0', '¥75.0']
['Z6', '南宁', '北京西', '桂林北', '武昌', '', '', '', '', '¥312.0', '¥312.0', '¥200.0', '', '¥115.0', '¥115.0']
['Z6', '南宁', '北京西', '桂林北', '郑州', '', '', '', '', '¥464.5', '¥464.5', '¥296.5', '', '¥173.5', '¥173.5']
['Z6', '南宁', '北京西', '桂林北', '石家庄', '', '', '', '', '¥556.0', '¥556.0', '¥353.0', '', '¥206.0', '¥206.0']
